departamento,anio_referencia_y,mes_referencia_y,produccion_mensual_desde_semana_t,produccion_mensual_proxy_t,produccion_anual_departamental_t,area_cosechada_departamental_ha,rendimiento_departamental_t_ha,valor_cosecha_anual_millones,PRECTOTCORR,IMERG_PRECTOT,lluvia_acum_4s,lluvia_acum_8s,T2M_mean,T2M_MAX_mean,T2M_MIN_mean,RH2M_mean,GWETROOT_mean,ALLSKY_SFC_SW_DWN_mean,WS2M_mean,anomalia_lluvia_semana_iso_mean,indice_climatico_base_x_mean,indice_climatico_ajustado_x_mean,dummy_exceso_lluvia_p75_any,dummy_estres_hidrico_p25_any,dummy_temp_max_alta_p75_any,precio_interno_cop_carga_mean,precio_externo_exdock_cent_usd_lb_mean,exportaciones_mensual_miles_sacos_mean,trm_promedio_semana_cop_usd_mean,diff_target_mensual,fecha_mes,mes_label
ANTIOQUIA,2021,1,179.632091246951,198.8783867376958,2313.87,1752.93,1.229704035508213,10768530.45442331,9.02,284,39.95428571428571,45.85095238095238,21.81178571428572,26.97107142857143,18.10571428571428,80.05214285714285,0.6314285714285715,18.63892857142857,0.2196428571428571,-0.709732142857143,0.461031222057302,0.8383093666171906,0,0,0,1073214.285714286,16.25,1072.0,3497.6225,-19.24629549074476,2021-01-01,2021-01
ANTIOQUIA,2021,2,203.661770692534,203.661770692534,2313.87,1752.93,1.3942035610722665,10768530.45442331,10.43428571428571,284,42.12857142857143,82.08285714285714,22.23964285714286,27.70392857142857,18.44607142857143,78.45964285714285,0.5971428571428571,15.98535714285714,0.1403571428571428,-0.2429464285714285,0.3887767282400206,0.8166330184720061,0,0,1,1113535.714285714,16.88,1273.64,3554.505,0.0,2021-02-01,2021-02
ANTIOQUIA,2021,3,174.4807546802022,193.175121253081,2313.87,1752.93,1.1944396274594116,10768530.45442331,7.068571428571429,284,32.85857142857143,74.98714285714286,22.01392857142857,27.44464285714286,18.42714285714285,77.06714285714285,0.5746428571428571,15.38535714285714,0.1089285714285714,-3.225892857142857,0.3552700175769247,0.8065810052730773,0,1,1,1156107.142857143,16.25,1128.007,3603.13,-18.69436657287883,2021-03-01,2021-03
ANTIOQUIA,2021,4,175.0267488785212,149.0208078238053,2313.87,1752.93,1.198177329694999,10768530.45442331,15.90714285714286,355,54.75714285714285,92.47285714285714,22.78428571428572,28.16171428571429,19.02285714285714,76.06457142857144,0.5785714285714285,16.814,0.1225714285714285,-2.657571428571428,0.3772303845520897,0.8131691153656269,0,1,1,1209342.857142857,15.38,1035.027,3660.336,26.00594105471586,2021-04-01,2021-04
ANTIOQUIA,2021,5,102.3620427457186,113.3294044684742,2313.87,1752.93,0.7007379147761879,10768530.45442331,2.662857142857143,284,21.21,71.11,23.92714285714286,30.09821428571429,19.33928571428572,68.91285714285715,0.5392857142857143,17.66642857142857,0.082142857142857,-5.759375,0.2371546455427459,0.7711463936628237,0,1,1,1387714.285714286,15.13,345.0,3736.075,-10.96736172275558,2021-05-01,2021-05
ANTIOQUIA,2021,6,177.844553719411,193.5430738649916,2313.87,1752.93,1.2174671234064862,10768530.45442331,10.92428571428571,284,35.00857142857143,56.21857142857144,22.77357142857143,28.89321428571429,18.5375,73.17035714285714,0.5389285714285714,16.7925,0.0964285714285713,-4.276071428571429,0.3394554400955587,0.8018366320286675,0,1,1,1417821.428571428,15.31,890.284,3680.635,-15.69852014558066,2021-06-01,2021-06
ANTIOQUIA,2021,7,247.2119296719306,222.4273538999761,2313.87,1752.93,1.692334066998207,10768530.45442331,9.034285714285714,355,39.18857142857143,84.44285714285715,23.85342857142857,30.58457142857143,18.84971428571428,65.34371428571428,0.524,18.31114285714286,0.0817142857142856,-3.844714285714286,0.2646435666408355,0.7793930699922507,0,1,1,1557857.142857143,14.81,1184.276,3822.534,24.78457577195445,2021-07-01,2021-07
ANTIOQUIA,2021,8,152.0475147927476,168.3383199491135,2313.87,1752.93,1.0408688182146295,10768530.45442331,13.09571428571429,284,38.25714285714285,67.2,23.20678571428571,29.47035714285714,18.81928571428572,69.69392857142857,0.5360714285714285,17.98892857142857,0.0774999999999999,-1.164910714285714,0.3417990993009011,0.8025397297902703,0,1,1,1700964.285714286,14.88,1130.973,3885.995,-16.29080515636585,2021-08-01,2021-08
ANTIOQUIA,2021,9,251.3056992154136,222.4273538999761,2313.87,1752.93,1.720358708325468,10768530.45442331,15.58857142857143,355,70.72999999999999,122.5571428571428,23.45457142857143,29.95628571428571,18.86571428571429,70.47657142857142,0.5648571428571428,18.90085714285714,0.0828571428571428,-1.448928571428572,0.3597574133416785,0.8079272240025036,0,1,1,1723100.0,15.88,1089.832,3818.934,28.87834531543751,2021-09-01,2021-09
ANTIOQUIA,2021,10,168.166213082252,186.184021626779,2313.87,1752.93,1.1512122885608802,10768530.45442331,21.21,284,77.73857142857143,134.8985714285714,21.91785714285714,26.91607142857143,18.72821428571429,83.17357142857144,0.6153571428571428,17.17464285714286,0.1017857142857143,-1.400803571428572,0.5094073296230647,0.8528221988869193,0,1,1,1782785.714285715,15.63,986.834,3771.41,-18.01780854452701,2021-10-01,2021-10
ANTIOQUIA,2021,11,194.2053885664308,208.0772020354616,2313.87,1752.93,1.3294681834398232,10768530.45442331,12.28714285714286,284,48.40571428571428,126.1442857142857,21.23392857142857,25.80321428571429,18.0225,83.41285714285715,0.6203571428571428,16.54285714285714,0.1710714285714285,-3.005982142857143,0.4493376736993215,0.8348013021097964,0,0,0,1997101.19047619,15.25,1135.451,3895.2825,-13.8718134690308,2021-11-01,2021-11
ANTIOQUIA,2021,12,281.0812933728544,254.8071837481116,2313.87,1752.93,1.9241929343865716,10768530.45442331,16.86857142857143,355,72.21857142857142,135.9214285714286,21.288,26.03485714285714,18.148,84.674,0.622,15.30142857142857,0.162,0.1189285714285718,0.4361059149780622,0.8308317744934186,0,0,0,2115742.857142857,15.75,1167.18,3966.816,26.27410962474272,2021-12-01,2021-12
ANTIOQUIA,2022,1,173.632146179967,192.2355904135348,2454.68,1789.27,1.164489291252636,14502232.05729942,12.35571428571428,284,57.54142857142858,114.4628571428571,21.24357142857143,26.40214285714286,17.70392857142857,81.07249999999999,0.6221428571428571,15.6875,0.1685714285714285,0.1241964285714286,0.4292400447627495,0.8287720134288248,0,0,0,2153767.857142857,15.5,1031.827,4001.5425,-18.60344423356784,2022-01-01,2022-01
ANTIOQUIA,2022,2,204.3847784844363,205.5237648660833,2454.68,1789.27,1.3707363012922789,14502232.05729942,17.71,284,56.00142857142858,113.5428571428571,21.61928571428571,27.18857142857143,17.78464285714286,79.78178571428572,0.6085714285714285,15.53392857142857,0.1714285714285714,1.575982142857143,0.4736180160715138,0.8420854048214541,0,0,0,2212119.047619048,15.63,983.233,3938.4075,-1.138986381647015,2022-02-01,2022-02
ANTIOQUIA,2022,3,226.3735433523439,202.4231908271553,2454.68,1789.27,1.518207157236262,14502232.05729942,38.55571428571429,355,136.3557142857143,217.81,21.06885714285714,25.41057142857143,18.29142857142857,87.65857142857143,0.7265714285714286,16.33914285714285,0.1691428571428571,2.816214285714286,0.6345499772216397,0.8903649931664919,1,0,0,1994971.428571429,17.25,1120.626,3806.814,23.95035252518861,2022-03-01,2022-03
ANTIOQUIA,2022,4,156.757593461193,166.1021806568561,2454.68,1789.27,1.051317644365756,14502232.05729942,36.28285714285714,284,142.7957142857143,253.6985714285714,20.93892857142857,24.70607142857143,18.37714285714286,89.29714285714286,0.8721428571428572,15.94428571428571,0.1453571428571428,2.897589285714286,0.6982299373223092,0.9094689811966928,1,0,0,2030119.047619048,17.63,848.0,3801.7925,-9.344587195663138,2022-04-01,2022-04
