fecha_semana_inicio,fecha_semana_fin,anio_referencia_y,mes_referencia_y,semana_iso,departamento,produccion_semanal_proxy_t,PRECTOTCORR,T2M,T2M_MAX,T2M_MIN,RH2M,GWETROOT,ALLSKY_SFC_SW_DWN,WS2M,lluvia_acum_4s,lluvia_acum_8s,anomalia_lluvia_semana_iso,t2m_max_ma_4s,gwetroot_ma_4s,gwettop_ma_4s,dummy_exceso_lluvia_p75,dummy_estres_hidrico_p25,dummy_temp_max_alta_p75,precio_interno_cop_carga,precio_externo_exdock_cent_usd_lb,exportaciones_mensual_miles_sacos,trm_promedio_semana_cop_usd,fecha_semana_label
2021-01-04,2021-01-10,2021,1,1,ANTIOQUIA,44.90802281173776,2.29,20.63142857142857,24.78714285714286,17.47571428571429,84.59,0.6685714285714287,16.26571428571429,0.1942857142857143,8.186666666666666,8.186666666666666,-1.875714285714285,25.48023809523809,0.6742857142857144,0.7097619047619048,0,0,0,1050285.714285714,16.25,1072.0,3449.67,2021-01-04
2021-01-11,2021-01-17,2021,1,2,ANTIOQUIA,44.90802281173776,1.775714285714286,21.91142857142857,27.26142857142857,18.24714285714285,81.55857142857143,0.6414285714285715,20.14571428571428,0.1971428571428571,9.96238095238095,9.96238095238095,-2.566071428571429,26.07396825396826,0.6633333333333334,0.6926984126984127,0,0,0,1068714.285714286,16.25,1072.0,3475.08,2021-01-11
2021-01-18,2021-01-24,2021,1,3,ANTIOQUIA,44.90802281173776,2.822857142857143,22.11571428571429,27.51285714285714,18.14857142857142,77.53714285714285,0.6114285714285714,18.29857142857143,0.2414285714285714,12.78523809523809,12.78523809523809,0.7149999999999999,26.43369047619048,0.6503571428571429,0.6723809523809524,0,0,0,1079142.857142857,16.25,1072.0,3488.54,2021-01-18
2021-01-25,2021-01-31,2021,1,4,ANTIOQUIA,44.90802281173776,2.131428571428571,22.58857142857143,28.32285714285715,18.55142857142857,76.52285714285713,0.6042857142857142,19.84571428571428,0.2457142857142857,9.02,14.91666666666666,0.8878571428571427,26.97107142857143,0.6314285714285715,0.6425,0,0,0,1094714.285714286,16.25,1072.0,3577.2,2021-01-25
2021-02-01,2021-02-07,2021,2,5,ANTIOQUIA,50.9154426731335,3.225714285714285,22.43428571428572,27.90857142857143,18.66428571428571,77.7957142857143,0.5971428571428571,17.73,0.2071428571428571,9.955714285714285,18.14238095238095,-0.0289285714285716,27.75142857142857,0.6135714285714285,0.6146428571428572,0,0,1,1091000.0,16.88,1273.64,3546.23,2021-02-01
2021-02-08,2021-02-14,2021,2,6,ANTIOQUIA,50.9154426731335,2.484285714285714,21.99714285714285,27.03571428571428,18.55142857142857,79.96285714285715,0.5928571428571427,15.35571428571429,0.1342857142857142,10.66428571428572,20.62666666666667,-0.0110714285714283,27.695,0.6014285714285714,0.5960714285714286,0,0,0,1068857.142857143,16.88,1273.64,3542.15,2021-02-08
2021-02-15,2021-02-21,2021,2,7,ANTIOQUIA,50.9154426731335,3.232857142857143,21.21285714285714,26.16714285714286,17.69857142857143,80.46285714285715,0.61,14.40571428571429,0.1042857142857142,11.07428571428572,23.85952380952381,-0.1071428571428572,27.35857142857143,0.6010714285714285,0.5960714285714286,0,0,0,1105857.142857143,16.88,1273.64,3534.86,2021-02-15
2021-02-22,2021-02-28,2021,2,8,ANTIOQUIA,50.9154426731335,1.491428571428572,23.31428571428572,29.70428571428572,18.87,75.61714285714285,0.5885714285714286,16.45,0.1157142857142857,10.43428571428571,19.45428571428572,-0.824642857142857,27.70392857142857,0.5971428571428571,0.59,0,0,0,1188428.571428571,16.88,1273.64,3594.78,2021-02-22
2021-03-01,2021-03-07,2021,3,9,ANTIOQUIA,43.62018867005055,3.261428571428571,22.38857142857143,28.20857142857143,18.43285714285714,76.37714285714286,0.5814285714285713,14.84428571428571,0.0942857142857142,10.47,20.42571428571429,-2.163214285714285,27.77892857142857,0.5932142857142857,0.5842857142857143,0,1,1,1170285.714285714,16.25,1128.007,3642.67,2021-03-01
2021-03-08,2021-03-14,2021,3,10,ANTIOQUIA,43.62018867005055,0.99,21.31857142857143,25.91857142857143,18.14857142857142,80.12285714285714,0.5857142857142856,14.23142857142857,0.1185714285714285,8.975714285714286,19.64,-4.903571428571428,27.49964285714286,0.5914285714285714,0.5814285714285714,0,1,0,1150285.714285714,16.25,1128.007,3587.1,2021-03-08
2021-03-15,2021-03-21,2021,3,11,ANTIOQUIA,43.62018867005055,0.6014285714285714,21.87571428571428,27.42428571428572,18.43142857142857,77.08857142857143,0.5657142857142857,17.03571428571428,0.0942857142857142,6.344285714285714,17.41857142857143,-4.61,27.81392857142857,0.5803571428571428,0.5642857142857143,0,1,1,1145000.0,16.25,1128.007,3565.51,2021-03-15
2021-03-22,2021-03-28,2021,3,12,ANTIOQUIA,43.62018867005055,2.215714285714286,22.47285714285714,28.22714285714286,18.69571428571428,74.67999999999999,0.5657142857142857,15.43,0.1285714285714286,7.068571428571429,17.50285714285714,-1.226785714285715,27.44464285714286,0.5746428571428571,0.5575,0,1,0,1158857.142857143,16.25,1128.007,3617.24,2021-03-22
2021-03-29,2021-04-04,2021,4,13,ANTIOQUIA,38.56380761605286,1.05,23.78428571428572,29.74,19.82285714285715,72.14857142857143,0.5585714285714286,16.60142857142857,0.11,4.857142857142858,15.32714285714286,-3.4525,27.8275,0.5689285714285715,0.5492857142857143,0,1,1,1138571.428571429,15.38,1035.027,3688.95,2021-03-29
2021-04-05,2021-04-11,2021,4,14,ANTIOQUIA,34.77152182555458,0.8442857142857143,23.62142857142857,30.03,19.14857142857142,71.08571428571429,0.5385714285714286,17.69857142857143,0.0914285714285714,4.711428571428572,13.68714285714286,-5.585714285714285,28.85535714285714,0.5571428571428572,0.5339285714285714,0,1,1,1165428.571428571,15.38,1035.027,3649.1,2021-04-05
2021-04-12,2021-04-18,2021,4,15,ANTIOQUIA,34.77152182555458,10.60714285714286,23.01285714285714,28.72857142857143,19.49142857142857,77.71142857142857,0.5742857142857142,16.86142857142857,0.1071428571428571,14.71714285714286,21.06142857142857,5.582857142857144,29.18142857142857,0.5592857142857143,0.5457142857142857,0,1,1,1191285.714285714,15.38,1035.027,3635.29,2021-04-12
2021-04-19,2021-04-25,2021,4,16,ANTIOQUIA,34.77152182555458,3.112857142857143,22.10285714285714,26.71142857142857,18.22571428571429,79.03999999999999,0.6242857142857143,18.47285714285714,0.1999999999999999,15.61428571428571,22.68285714285714,-5.531071428571428,28.8025,0.5739285714285715,0.5675,0,1,1,1229142.857142857,15.38,1035.027,3626.9,2021-04-19
2021-04-26,2021-05-02,2021,4,17,ANTIOQUIA,32.1483757858046,0.2928571428571428,21.4,25.59857142857143,18.42571428571429,80.33714285714287,0.5971428571428571,14.43571428571428,0.1042857142857142,14.85714285714286,19.71428571428572,-4.301428571428572,27.76714285714285,0.5835714285714285,0.5792857142857143,0,1,1,1322285.714285714,15.38,1035.027,3701.44,2021-04-26
2021-05-03,2021-05-09,2021,5,18,ANTIOQUIA,25.59051068642965,0.2271428571428571,22.30857142857143,28.12142857142857,18.25,74.51142857142858,0.5714285714285714,17.14428571428571,0.0999999999999999,14.24,18.95142857142857,-4.133214285714286,27.29,0.5917857142857142,0.5882142857142857,0,1,0,1394142.857142857,15.13,345.0,3795.06,2021-05-03
2021-05-10,2021-05-16,2021,5,19,ANTIOQUIA,25.59051068642965,0.0142857142857142,24.83142857142857,31.41714285714286,19.65,65.07000000000001,0.5442857142857144,19.23142857142857,0.0785714285714285,3.647142857142857,18.36428571428572,-6.628214285714286,27.96214285714285,0.5842857142857143,0.5692857142857143,0,1,1,1345857.142857143,15.13,345.0,3715.9,2021-05-10
2021-05-17,2021-05-23,2021,5,20,ANTIOQUIA,25.59051068642965,0.1257142857142857,24.80857142857143,31.11428571428572,19.87285714285714,64.92999999999999,0.5242857142857142,18.42857142857143,0.0757142857142857,0.6599999999999999,16.27428571428571,-6.948571428571429,29.06285714285714,0.5592857142857143,0.5339285714285714,0,1,1,1377571.428571429,15.13,345.0,3700.29,2021-05-17
2021-05-24,2021-05-30,2021,5,21,ANTIOQUIA,25.59051068642965,2.295714285714286,23.76,29.74,19.58428571428572,71.14,0.5171428571428571,15.86142857142857,0.0742857142857142,2.662857142857143,17.52,-5.327500000000001,30.09821428571429,0.5392857142857143,0.5121428571428571,0,1,1,1433285.714285714,15.13,345.0,3733.05,2021-05-24
2021-05-31,2021-06-06,2021,6,22,ANTIOQUIA,42.36440201391684,2.207142857142857,23.61,29.61571428571429,19.44571428571428,71.56857142857143,0.5214285714285715,17.47428571428572,0.0885714285714285,4.642857142857142,18.88285714285714,-6.208214285714286,30.47178571428572,0.5267857142857143,0.4996428571428571,0,1,1,1435000.0,15.31,890.284,3660.01,2021-05-31
2021-06-07,2021-06-13,2021,6,23,ANTIOQUIA,45.16005056849804,2.857142857142857,22.61571428571429,28.46142857142857,18.66428571428571,73.72,0.5314285714285715,14.08714285714286,0.1157142857142857,7.485714285714286,11.13285714285714,-3.712142857142857,29.73285714285715,0.5235714285714286,0.4978571428571428,0,1,1,1406714.285714286,15.31,890.284,3606.56,2021-06-07
2021-06-14,2021-06-20,2021,6,24,ANTIOQUIA,45.16005056849804,4.595714285714286,22.32571428571429,28.44571428571428,18.30857142857143,75.70285714285716,0.5528571428571428,17.91428571428571,0.0985714285714285,11.95571428571429,12.61571428571429,-3.118571428571428,29.06571428571429,0.5307142857142857,0.51,0,1,1,1398142.857142857,15.31,890.284,3696.28,2021-06-14
2021-06-21,2021-06-27,2021,6,25,ANTIOQUIA,45.16005056849804,1.264285714285714,22.54285714285714,29.05,17.73142857142857,71.69000000000001,0.55,17.69428571428572,0.0828571428571428,10.92428571428571,13.58714285714286,-4.065357142857143,28.89321428571429,0.5389285714285714,0.5167857142857143,0,1,1,1431428.571428571,15.31,890.284,3759.69,2021-06-21
2021-06-28,2021-07-04,2021,7,26,ANTIOQUIA,48.05461111552834,1.528571428571428,22.85,29.32714285714286,17.97714285714286,66.92714285714285,0.5342857142857144,19.20714285714286,0.0885714285714285,10.24571428571429,14.88857142857143,-6.111071428571428,28.82107142857143,0.5421428571428571,0.5185714285714286,0,1,1,1435142.857142857,14.81,1184.276,3755.32,2021-06-28
2021-07-05,2021-07-11,2021,7,27,ANTIOQUIA,50.22553152580106,0.7328571428571429,24.13857142857143,31.04857142857143,18.87571428571428,63.50857142857143,0.5228571428571429,18.23285714285715,0.0657142857142857,8.121428571428572,15.60714285714286,-5.774642857142857,29.46785714285714,0.54,0.5121428571428572,0,1,1,1417714.285714286,14.81,1184.276,3808.74,2021-07-05
2021-07-12,2021-07-18,2021,7,28,ANTIOQUIA,50.22553152580106,2.392857142857143,24.44,31.74,19.20571428571429,63.31285714285714,0.5171428571428571,18.74571428571429,0.0614285714285714,5.918571428571428,17.87428571428572,-0.8971428571428572,30.29142857142857,0.5310714285714286,0.4978571428571429,0,1,1,1478000.0,14.81,1184.276,3814.64,2021-07-12
2021-07-19,2021-07-25,2021,7,29,ANTIOQUIA,50.22553152580106,2.742857142857143,23.99714285714285,30.40857142857143,19.26142857142857,66.74285714285715,0.5185714285714286,17.27428571428571,0.0842857142857143,7.397142857142857,18.32142857142857,-0.7960714285714285,30.63107142857143,0.5232142857142857,0.4892857142857142,0,1,1,1680428.571428571,14.81,1184.276,3852.26,2021-07-19
2021-07-26,2021-08-01,2021,7,30,ANTIOQUIA,48.48072397899904,1.637142857142857,23.84142857142857,30.39857142857142,18.92857142857143,66.22714285714285,0.5271428571428572,18.09571428571429,0.1085714285714285,7.505714285714285,17.75142857142857,-5.644642857142857,30.89892857142857,0.5214285714285715,0.4860714285714285,0,1,1,1778000.0,14.81,1184.276,3881.71,2021-07-26
2021-08-02,2021-08-08,2021,8,31,ANTIOQUIA,38.01187869818691,0.9471428571428572,23.4,29.68285714285714,18.46571428571428,62.96571428571429,0.5185714285714286,19.81428571428572,0.0628571428571428,7.72,15.84142857142857,-2.904642857142857,30.5575,0.5203571428571429,0.485,0,1,1,1677857.142857143,14.88,1130.973,3909.68,2021-08-02
2021-08-09,2021-08-15,2021,8,32,ANTIOQUIA,38.01187869818691,1.295714285714286,23.9,30.82428571428571,19.0,64.07571428571428,0.5071428571428571,17.66857142857143,0.0699999999999999,6.622857142857143,12.54142857142857,-2.948571428571429,30.32857142857143,0.5178571428571429,0.4817857142857142,0,1,1,1723714.285714286,14.88,1130.973,3916.49,2021-08-09
2021-08-16,2021-08-22,2021,8,33,ANTIOQUIA,38.01187869818691,6.938571428571429,22.96714285714285,29.44285714285714,18.83571428571429,73.27428571428572,0.5342857142857144,16.79428571428571,0.09,10.81857142857143,18.21571428571428,2.274642857142857,30.08714285714285,0.5217857142857143,0.4896428571428571,0,1,1,1680142.857142857,14.88,1130.973,3859.46,2021-08-16
2021-08-23,2021-08-29,2021,8,34,ANTIOQUIA,38.01187869818691,3.914285714285714,22.56,27.93142857142857,18.97571428571429,78.46000000000001,0.5842857142857143,17.67857142857143,0.0871428571428571,13.09571428571428,20.60142857142857,-1.081071428571428,29.47035714285714,0.5360714285714285,0.5071428571428571,0,1,1,1722142.857142857,14.88,1130.973,3858.35,2021-08-23
2021-08-30,2021-09-05,2021,9,35,ANTIOQUIA,47.93176242090656,1.421428571428571,23.48285714285715,29.91142857142857,19.18,70.91857142857143,0.5614285714285715,18.15571428571429,0.0642857142857143,13.57,21.29,-2.577142857142857,29.5275,0.5467857142857143,0.5185714285714286,0,1,1,1740142.857142857,15.88,1089.832,3789.89,2021-08-30
2021-09-06,2021-09-12,2021,9,36,ANTIOQUIA,51.89971590999442,4.27,23.53571428571428,30.1,18.81142857142857,70.53285714285714,0.5557142857142857,17.33571428571429,0.0842857142857143,16.54428571428571,23.16714285714286,-0.2514285714285718,29.34642857142857,0.5589285714285714,0.5335714285714286,0,1,1,1704500.0,15.88,1089.832,3816.06,2021-09-06
2021-09-13,2021-09-19,2021,9,37,ANTIOQUIA,51.89971590999442,3.811428571428571,23.48,30.09,18.72571428571429,69.90857142857143,0.5742857142857142,22.08285714285714,0.0942857142857142,13.41714285714286,24.23571428571428,-0.8585714285714285,29.50821428571428,0.5689285714285715,0.5421428571428571,0,1,1,1685714.285714286,15.88,1089.832,3828.98,2021-09-13
2021-09-20,2021-09-26,2021,9,38,ANTIOQUIA,51.89971590999442,3.528571428571428,23.22714285714286,29.55714285714286,18.63142857142857,71.27142857142857,0.5757142857142856,18.99571428571429,0.0828571428571428,13.03142857142857,26.12714285714286,-1.79,29.91464285714285,0.5667857142857142,0.5407142857142857,0,1,1,1710000.0,15.88,1089.832,3840.47,2021-09-20
2021-09-27,2021-10-03,2021,9,39,ANTIOQUIA,47.67478906452381,2.557142857142857,23.54714285714286,30.12285714285714,18.98,69.75142857142858,0.5571428571428572,17.93428571428571,0.0885714285714285,14.16714285714286,27.73714285714286,-1.7675,29.9675,0.5657142857142856,0.5410714285714285,0,1,1,1775142.857142857,15.88,1089.832,3819.27,2021-09-27
2021-10-04,2021-10-10,2021,10,40,ANTIOQUIA,42.04155327056301,10.28571428571429,22.50285714285715,28.42857142857143,18.47,79.88857142857144,0.59,17.13857142857143,0.0742857142857142,20.18285714285715,36.72714285714286,0.6921428571428567,29.54964285714286,0.5742857142857143,0.5592857142857143,0,1,1,1752857.142857143,15.63,986.834,3779.4,2021-10-04
2021-10-11,2021-10-17,2021,10,41,ANTIOQUIA,42.04155327056301,2.244285714285714,22.10428571428571,27.06142857142857,19.0,84.10142857142857,0.6257142857142857,16.87857142857143,0.1114285714285714,18.61571428571429,32.03285714285714,-1.163928571428572,28.7925,0.5871428571428571,0.5785714285714285,0,1,1,1805857.142857143,15.63,986.834,3756.59,2021-10-11
2021-10-18,2021-10-24,2021,10,42,ANTIOQUIA,42.04155327056301,2.642857142857143,21.83571428571429,26.99571428571429,18.56714285714286,81.94428571428571,0.6142857142857142,17.95714285714286,0.1257142857142857,17.73,30.76142857142857,-2.923571428571429,28.15214285714286,0.5967857142857143,0.5946428571428571,0,1,1,1779857.142857143,15.63,986.834,3775.22,2021-10-18
2021-10-25,2021-10-31,2021,10,43,ANTIOQUIA,42.04155327056301,6.037142857142856,21.22857142857143,25.17857142857143,18.87571428571428,86.76,0.6314285714285715,16.72428571428571,0.0957142857142857,21.21,35.37714285714286,-2.207857142857143,26.91607142857143,0.6153571428571428,0.6257142857142857,0,0,0,1792571.428571429,15.63,986.834,3774.43,2021-10-25
2021-11-01,2021-11-07,2021,11,44,ANTIOQUIA,48.5513471416077,1.952857142857143,21.56142857142857,26.33857142857143,18.33142857142857,82.31285714285714,0.6328571428571428,18.14428571428572,0.1414285714285714,12.87714285714286,33.06,-3.357857142857143,26.39357142857143,0.6260714285714285,0.635,0,0,0,1853857.142857143,15.25,1135.451,3828.05,2021-11-01
