departamento,anio_referencia_y,produccion_anual_desde_semana_t,produccion_mensual_proxy_t,produccion_anual_departamental_t,area_cosechada_departamental_ha,rendimiento_departamental_t_ha,peso_mensual_prod_nacional,produccion_nacional_mensual_oficial_miles_sacos,valor_cosecha_anual_millones,PRECTOTCORR,IMERG_PRECTOT,lluvia_acum_4s,lluvia_acum_8s,T2M_mean,T2M_MAX_mean,T2M_MIN_mean,RH2M_mean,QV2M_mean,GWETTOP_mean,GWETROOT_mean,ALLSKY_SFC_SW_DWN_mean,WS2M_mean,anomalia_lluvia_semana_iso_mean,t2m_max_ma_4s_mean,gwetroot_ma_4s_mean,gwettop_ma_4s_mean,indice_climatico_base_x_mean,indice_climatico_ajustado_x_mean,dummy_exceso_lluvia_p75_any,dummy_exceso_lluvia_p75_mean,dummy_estres_hidrico_p25_any,dummy_estres_hidrico_p25_mean,dummy_temp_max_alta_p75_any,dummy_temp_max_alta_p75_mean,dummy_indice_climatico_bajo_p25_any,dummy_indice_climatico_bajo_p25_mean,dummy_indice_climatico_alto_p75_any,dummy_indice_climatico_alto_p75_mean,dummy_trm_lag4_alta_p75_any,dummy_trm_lag4_alta_p75_mean,dummy_devaluacion_4s_p75_any,dummy_devaluacion_4s_p75_mean,dummy_precio_interno_alto_p75_any,dummy_precio_interno_alto_p75_mean,dummy_precio_externo_alto_p75_any,dummy_precio_externo_alto_p75_mean,dummy_exportaciones_altas_p75_any,dummy_exportaciones_altas_p75_mean,precio_interno_cop_carga_mean,precio_interno_cop_carga_lag_1s_mean,precio_interno_cop_carga_lag_4s_mean,precio_interno_cop_carga_ma_4s_mean,precio_interno_cop_carga_var_4s_mean,precio_externo_exdock_cent_usd_lb_mean,precio_externo_exdock_cent_usd_lb_lag_1s_mean,precio_externo_exdock_cent_usd_lb_lag_4s_mean,precio_externo_exdock_cent_usd_lb_ma_4s_mean,precio_externo_exdock_cent_usd_lb_var_4s_mean,exportaciones_mensual_miles_sacos_mean,exportaciones_mensual_miles_sacos_lag_1s_mean,exportaciones_mensual_miles_sacos_lag_4s_mean,exportaciones_mensual_miles_sacos_ma_4s_mean,exportaciones_mensual_miles_sacos_var_4s_mean,trm_viernes_cop_usd_mean,trm_promedio_semana_cop_usd_mean,trm_viernes_cop_usd_lag_1s_mean,trm_viernes_cop_usd_lag_4s_mean,trm_viernes_cop_usd_ma_4s_mean,trm_viernes_cop_usd_var_4s_mean,nivel,dias_productivos_periodo_2021_2024,diff_target_anual
ANTIOQUIA,2021,2313.87,198.8783867376958,2313.87,1752.93,1.32,0.0859505446449868,1081,10768530.45442331,144.1014285714286,3692,572.4557142857143,1093.886666666667,22.56538461538462,28.20942307692308,18.61796703296703,75.74162087912087,14.23162087912088,0.5663736263736264,0.578076923076923,17.1410989010989,0.1199450549450549,-2.275082417582417,28.21296092796093,0.5798031135531135,0.5689873321123321,0.3753387504251285,0.8126016251275385,0,0.0,1,0.6538461538461539,1,0.6153846153846154,1,0.5769230769230769,0,0.0,0,0,0,0,1,0.07692307692307693,0,0.0,1,0.6730769230769231,1529753.663003663,1510154.761904762,1473178.814382896,1500016.712454212,0.05936663073163961,15.60423076923077,15.61384615384616,15.60551020408163,15.61865384615385,-0.001995547136641952,1042.890980769231,1041.060596153846,1033.339,1040.145403846154,0.1010657344166499,3749.625192307692,3746.956153846154,3739.074038461539,3725.51306122449,3745.0002,0.01104246,PANEL_DEPARTAMENTAL,7,-6.843999335033004
ANTIOQUIA,2022,2454.68,192.2355904135348,2454.68,1789.27,1.37,0.0783139107392958,868,14502232.05729942,351.9528571428571,3692,1417.928571428571,2835.648571428571,20.82516483516483,24.96085164835165,17.92983516483516,87.99961538461538,15.27475274725275,0.8443956043956043,0.8591208791208792,16.28307692307692,0.1529395604395604,1.72206043956044,24.99980769230769,0.8513873626373626,0.8372115384615385,0.6638981366039673,0.8991694409811901,1,0.5961538461538461,0,0.0,0,0.0,1,0.01923076923076923,1,0.5192307692307693,0,0,0,0,1,0.5961538461538461,0,0.0,1,0.09615384615384616,2150401.556776557,2152731.227106227,2163461.996336996,2154378.891941392,-0.004463023397281523,17.52461538461538,17.44769230769231,17.21692307692308,17.40923076923077,0.01810437951138497,952.7013461538462,955.2432692307692,962.8690384615385,956.5142307692307,-0.0005978389633927476,4264.70173076923,4258.470769230769,4248.758653846154,4201.03173076923,4241.665576923077,0.01578807057692308,PANEL_DEPARTAMENTAL,7,-7.39502231071765
ANTIOQUIA,2023,2029.31,155.2254891948265,2029.31,1703.3,1.19,0.0764917578855997,868,11143094.64744758,256.1228571428571,3692,1014.827142857143,2039.991428571429,21.71475274725275,25.99384615384616,18.52766483516483,85.06142857142858,15.53879120879121,0.7550549450549451,0.7439835164835166,17.37120879120879,0.1754945054945055,-0.1208241758241758,25.95472527472528,0.7510576923076923,0.7610645604395605,0.5701654845857618,0.8710496453757285,1,0.1346153846153846,1,0.0576923076923077,1,0.1346153846153846,1,0.1153846153846154,1,0.1923076923076923,0,0,0,0,1,0.03846153846153846,1,0.1538461538461539,1,0.09615384615384616,1624093.063186813,1633925.480769231,1660387.019230769,1638151.442307692,-0.01727955955299274,18.76211538461538,18.75730769230769,18.74288461538461,18.75490384615384,0.004430766360096269,882.6645384615384,882.0552115384615,880.2272307692308,881.7505480769231,0.01040548126983886,4314.476730769231,4323.717115384616,4333.479615384615,4381.41826923077,4340.771923076923,-0.01438497307692308,PANEL_DEPARTAMENTAL,7,-5.007273844994415
ANTIOQUIA,2024,2121.27,145.3335203877394,2121.27,1440.21,1.47,0.0685125044844547,959,16061885.36132928,294.5242857142857,3692,1165.441428571429,2313.0,22.44153846153846,26.97947802197802,19.19357142857143,83.65532967032966,15.83293956043956,0.7385164835164836,0.7410714285714286,17.61090659340659,0.148489010989011,0.6176648351648353,27.01589285714286,0.7354532967032967,0.7333379120879121,0.5620105810183739,0.868603174305512,1,0.3076923076923077,1,0.3076923076923077,1,0.2884615384615384,1,0.3076923076923077,1,0.3269230769230769,0,0,0,0,1,0.3076923076923077,1,0.9230769230769231,1,0.1538461538461539,1890475.274725275,1864736.263736264,1790620.879120879,1852584.478021978,0.05303062123666364,24.98961538461538,24.83326923076923,24.36423076923077,24.75509615384616,0.03533807794588139,1025.776596153846,1021.214019230769,1007.526288461538,1018.932730769231,0.02127006683831401,4071.30076923077,4069.508846153846,4060.148269230769,4036.268269230769,4056.672115384616,0.008866373653846155,PANEL_DEPARTAMENTAL,7,-17.58169978935712
CALDAS,2021,2802.47,240.8738228512364,2802.47,2571.07,1.09,0.0859505446449868,1081,10768530.45442331,175.9942857142857,3692,686.7742857142857,1309.046666666667,16.40785714285714,21.29008241758242,12.79692307692308,84.8395054945055,12.35134615384615,0.7209065934065934,0.7148351648351648,16.18068681318681,0.2887912087912088,-1.931307692307692,21.30042124542124,0.7172680097680098,0.7230982905982906,0.4279986735796929,0.828399602073908,0,0.0,1,0.5192307692307693,1,0.3269230769230769,1,0.5961538461538461,1,0.01923076923076923,0,0,0,0,1,0.07692307692307693,0,0.0,1,0.6730769230769231,1529753.663003663,1510154.761904762,1473178.814382896,1500016.712454212,0.05936663073163961,15.60423076923077,15.61384615384616,15.60551020408163,15.61865384615385,-0.001995547136641952,1042.890980769231,1041.060596153846,1033.339,1040.145403846154,0.1010657344166499,3749.625192307692,3746.956153846154,3739.074038461539,3725.51306122449,3745.0002,0.01104246,PANEL_DEPARTAMENTAL,7,-10.47861041615988
CALDAS,2022,2539.68,198.8922728263749,2539.68,2487.43,1.02,0.0783139107392958,868,14502232.05729942,358.5542857142857,3692,1441.275714285714,2879.684285714286,15.95244505494506,20.54321428571428,12.6279945054945,88.06046703296703,12.51975274725275,0.8707692307692307,0.8914010989010989,15.61741758241758,0.2799725274725274,1.579461538461538,20.5431043956044,0.8848763736263737,0.8656730769230769,0.6472602555996958,0.8941780766799087,1,0.5192307692307693,1,0.1153846153846154,0,0.0,1,0.0576923076923077,1,0.4615384615384616,0,0,0,0,1,0.5961538461538461,0,0.0,1,0.09615384615384616,2150401.556776557,2152731.227106227,2163461.996336996,2154378.891941392,-0.004463023397281523,17.52461538461538,17.44769230769231,17.21692307692308,17.40923076923077,0.01810437951138497,952.7013461538462,955.2432692307692,962.8690384615385,956.5142307692307,-0.0005978389633927476,4264.70173076923,4258.470769230769,4248.758653846154,4201.03173076923,4241.665576923077,0.01578807057692308,PANEL_DEPARTAMENTAL,7,-7.356183410607173
CALDAS,2023,2219.1,169.7428599239344,2219.1,2332.1,0.95,0.0764917578855997,868,11143094.64744758,273.8514285714286,3692,1092.782857142857,2203.31,16.4518956043956,21.14024725274725,12.91881868131868,86.71230769230769,12.71351648351648,0.8381868131868132,0.8470329670329669,16.39326923076923,0.2906043956043956,-0.04943956043956053,21.12776098901099,0.8500892857142858,0.8401510989010988,0.5983253988865879,0.8794976196659763,1,0.2115384615384615,1,0.09615384615384616,1,0.1923076923076923,1,0.1346153846153846,1,0.2884615384615384,0,0,0,0,1,0.03846153846153846,1,0.1538461538461539,1,0.09615384615384616,1624093.063186813,1633925.480769231,1660387.019230769,1638151.442307692,-0.01727955955299274,18.76211538461538,18.75730769230769,18.74288461538461,18.75490384615384,0.004430766360096269,882.6645384615384,882.0552115384615,880.2272307692308,881.7505480769231,0.01040548126983886,4314.476730769231,4323.717115384616,4333.479615384615,4381.41826923077,4340.771923076923,-0.01438497307692308,PANEL_DEPARTAMENTAL,7,-5.475576126578744
CALDAS,2024,2765.36,189.4617394011319,2765.36,2351.82,1.18,0.0685125044844547,959,16061885.36132928,293.6128571428571,3692,1155.82,2287.955714285714,17.00162087912088,21.72255494505495,13.49217032967033,86.60096153846153,13.13269230769231,0.8075,0.8107967032967033,16.6357967032967,0.2790384615384615,0.3305879120879122,21.73565934065934,0.8095741758241759,0.8066208791208791,0.5449251073400373,0.8634775322020112,1,0.3076923076923077,1,0.2884615384615384,1,0.5192307692307693,1,0.2307692307692308,1,0.25,0,0,0,0,1,0.3076923076923077,1,0.9230769230769231,1,0.1538461538461539,1890475.274725275,1864736.263736264,1790620.879120879,1852584.478021978,0.05303062123666364,24.98961538461538,24.83326923076923,24.36423076923077,24.75509615384616,0.03533807794588139,1025.776596153846,1021.214019230769,1007.526288461538,1018.932730769231,0.02127006683831401,4071.30076923077,4069.508846153846,4060.148269230769,4036.268269230769,4056.672115384616,0.008866373653846155,PANEL_DEPARTAMENTAL,7,-22.92010414963534
CAUCA,2021,3260.56,280.2469078476585,3260.56,2786.8,1.17,0.0859505446449868,1081,10768530.45442331,202.3142857142857,3692,806.8485714285714,1555.864285714286,21.03722527472528,25.80269230769231,17.89302197802198,84.72282967032967,14.73942307692308,0.7996153846153846,0.7993131868131869,14.91008241758242,1.48021978021978,-0.4978695054945055,25.74981456043956,0.8005982905982906,0.8010538766788766,0.5417413999618771,0.8625224199885632,1,0.2115384615384615,1,0.3076923076923077,1,0.07692307692307693,1,0.2307692307692308,1,0.2884615384615384,0,0,0,0,1,0.07692307692307693,0,0.0,1,0.6730769230769231,1529753.663003663,1510154.761904762,1473178.814382896,1500016.712454212,0.05936663073163961,15.60423076923077,15.61384615384616,15.60551020408163,15.61865384615385,-0.001995547136641952,1042.890980769231,1041.060596153846,1033.339,1040.145403846154,0.1010657344166499,3749.625192307692,3746.956153846154,3739.074038461539,3725.51306122449,3745.0002,0.01104246,PANEL_DEPARTAMENTAL,7,-13.13345036762212
CAUCA,2022,2768.37,216.8018810733446,2768.37,2630.86,1.05,0.0783139107392958,868,14502232.05729942,251.2614285714286,3692,1010.955714285714,2030.705714285714,20.7214010989011,25.49403846153846,17.64041208791209,85.07274725274725,14.52129120879121,0.8021153846153847,0.8030219780219781,14.39857142857143,1.48804945054945,0.4434217032967034,25.49975274725275,0.8017376373626374,0.8012293956043955,0.5334677501752149,0.8600403250525643,1,0.3846153846153846,1,0.1730769230769231,1,0.03846153846153846,1,0.1538461538461539,1,0.2884615384615384,0,0,0,0,1,0.5961538461538461,0,0.0,1,0.09615384615384616,2150401.556776557,2152731.227106227,2163461.996336996,2154378.891941392,-0.004463023397281523,17.52461538461538,17.44769230769231,17.21692307692308,17.40923076923077,0.01810437951138497,952.7013461538462,955.2432692307692,962.8690384615385,956.5142307692307,-0.0005978389633927476,4264.70173076923,4258.470769230769,4248.758653846154,4201.03173076923,4241.665576923077,0.01578807057692308,PANEL_DEPARTAMENTAL,7,-6.693975766978383
