fecha_semana_inicio,fecha_semana_fin,anio_semana_fin,anio_referencia_y,mes_referencia_y,semana_iso,dias_productivos_periodo_2021_2024,nivel,produccion_semanal_proxy_t,produccion_anual_proxy_5mun_t,area_cosechada_proxy_ha,rendimiento_proxy_t_ha,produccion_mensual_proxy_t,peso_mensual_prod_nacional,produccion_nacional_mensual_oficial_miles_sacos,PRECTOTCORR,IMERG_PRECTOT,T2M,T2M_MAX,T2M_MIN,RH2M,QV2M,GWETTOP,GWETROOT,ALLSKY_SFC_SW_DWN,WS2M,score_humedad,score_precipitacion,score_temperatura,score_radiacion,indice_climatico_base_x,indice_climatico_ajustado_x,lluvia_acum_4s,lluvia_acum_8s,anomalia_lluvia_semana_iso,t2m_max_ma_4s,gwetroot_ma_4s,gwettop_ma_4s,dummy_exceso_lluvia_p75,dummy_estres_hidrico_p25,dummy_temp_max_alta_p75,dummy_indice_climatico_bajo_p25,dummy_indice_climatico_alto_p75,precio_interno_cop_carga,precio_interno_cop_carga_lag_1s,precio_interno_cop_carga_lag_4s,precio_interno_cop_carga_ma_4s,precio_interno_cop_carga_var_4s,precio_externo_exdock_cent_usd_lb,precio_externo_exdock_cent_usd_lb_lag_1s,precio_externo_exdock_cent_usd_lb_lag_4s,precio_externo_exdock_cent_usd_lb_ma_4s,precio_externo_exdock_cent_usd_lb_var_4s,exportaciones_mensual_miles_sacos,exportaciones_mensual_miles_sacos_lag_1s,exportaciones_mensual_miles_sacos_lag_4s,exportaciones_mensual_miles_sacos_ma_4s,exportaciones_mensual_miles_sacos_var_4s,trm_viernes_cop_usd,trm_promedio_semana_cop_usd,trm_viernes_cop_usd_lag_1s,trm_viernes_cop_usd_lag_4s,trm_viernes_cop_usd_ma_4s,trm_viernes_cop_usd_var_4s,dummy_trm_lag4_alta_p75,dummy_devaluacion_4s_p75,dummy_precio_interno_alto_p75,dummy_precio_externo_alto_p75,dummy_exportaciones_altas_p75,valor_cosecha_anual_millones,valor_cosecha_semanal_proxy_millones,fuente_y_semanal,tipo_target
2020-12-28,2021-01-03,2021,2021,1,53,3,PROXY_NACIONAL_5_DEPARTAMENTOS,162.71594274751402,19562.39,19221.010000000002,1.0177607732372023,1681.398075057645,0.08595054464498689,1081.0,5.890666666666666,71.0,19.186666666666667,23.253999999999998,16.209333333333333,87.67266666666666,14.342666666666668,0.774,0.754,13.996666666666666,0.776,0.513739530831601,0.6055009984971074,0.870683712477283,0.178314704000602,0.5756022191347482,0.8726806657404245,5.890666666666666,5.890666666666666,0.0,23.253999999999998,0.754,0.774,0,0,0,0,0,1073000.0,,,1073000.0,,16.25,,,16.25,,1072.0,,,1072.0,,3432.5,3457.32,,,,,0,0,0,0,1,10768530.454423312,89570.42492746566,mensualizacion_estacionalidad_nacional_y_semanalizacion_calendario_dias,proxy_operacional_no_observada
2021-01-04,2021-01-10,2021,2021,1,1,7,PROXY_NACIONAL_5_DEPARTAMENTOS,379.6705330775327,19562.39,19221.010000000002,1.0177607732372023,1681.398075057645,0.08595054464498689,1081.0,5.045999999999999,71.0,18.64485714285714,22.705714285714286,15.584,85.782,13.549142857142858,0.7697142857142858,0.7517142857142858,14.466571428571427,0.8188571428571428,0.5003160125496404,0.514205422765734,0.6924233878548594,0.2247374957660605,0.5104784314124315,0.8531435294237294,10.936666666666666,10.936666666666666,0.3266285714285706,22.979857142857142,0.7528571428571429,0.7718571428571429,0,0,0,0,0,1050285.714285714,1073000.0,,1061642.857142857,,16.25,16.25,,16.25,,1072.0,1072.0,,1072.0,,3478.11,3449.67,3432.5,,,,0,0,0,0,1,10768530.454423312,208997.65816408652,mensualizacion_estacionalidad_nacional_y_semanalizacion_calendario_dias,proxy_operacional_no_observada
2021-01-11,2021-01-17,2021,2021,1,2,7,PROXY_NACIONAL_5_DEPARTAMENTOS,379.6705330775327,19562.39,19221.010000000002,1.0177607732372023,1681.398075057645,0.08595054464498689,1081.0,1.0517142857142858,71.0,19.771142857142856,24.899142857142856,15.909428571428572,81.29571428571428,13.654857142857143,0.7411428571428571,0.7348571428571429,17.718,0.8402857142857144,0.4076495080092145,0.08248409610277314,0.9370182365106225,0.5459523540702269,0.479445764067108,0.8438337292201323,11.988380952380952,11.988380952380952,-3.782571428571429,23.61961904761905,0.7468571428571429,0.7616190476190475,0,0,0,0,0,1068714.285714286,1050285.714285714,,1064000.0,,16.25,16.25,,16.25,,1072.0,1072.0,,1072.0,,3466.8,3475.08,3478.11,,,,0,0,0,0,1,10768530.454423312,208997.65816408652,mensualizacion_estacionalidad_nacional_y_semanalizacion_calendario_dias,proxy_operacional_no_observada
2021-01-18,2021-01-24,2021,2021,1,3,7,PROXY_NACIONAL_5_DEPARTAMENTOS,379.6705330775327,19562.39,19221.010000000002,1.0177607732372023,1681.398075057645,0.08595054464498689,1081.0,6.263714285714285,71.0,19.859714285714286,24.96457142857143,16.02542857142857,80.66971428571428,13.604571428571429,0.7288571428571429,0.7165714285714285,16.238,0.8342857142857142,0.3461493236128853,0.6458217528256438,0.9078774205677754,0.399740318392232,0.5695381043716995,0.8708614313115098,18.252095238095237,18.252095238095237,2.6032142857142855,23.95585714285714,0.7392857142857143,0.7534285714285714,0,0,0,0,0,1079142.857142857,1068714.285714286,,1067785.7142857143,,16.25,16.25,,16.25,,1072.0,1072.0,,1072.0,,3525.25,3488.54,3466.8,,3475.66,,0,0,0,0,1,10768530.454423312,208997.65816408652,mensualizacion_estacionalidad_nacional_y_semanalizacion_calendario_dias,proxy_operacional_no_observada
2021-01-25,2021-01-31,2021,2021,1,4,7,PROXY_NACIONAL_5_DEPARTAMENTOS,379.6705330775327,19562.39,19221.010000000002,1.0177607732372023,1681.398075057645,0.08595054464498689,1081.0,3.464285714285714,71.0,20.065714285714286,25.20057142857143,16.176,80.84371428571428,13.80742857142857,0.7317142857142857,0.7302857142857142,17.927714285714284,0.8348571428571429,0.3790146287754478,0.34324624791550856,0.8401015228426393,0.5666704301682283,0.5134926272861778,0.8540477881858533,15.825714285714284,21.716380952380952,1.3570714285714285,24.4425,0.7333571428571428,0.7428571428571429,0,0,0,0,0,1094714.285714286,1079142.857142857,1073000.0,1073214.2857142857,0.020236985754227277,16.25,16.25,16.25,16.25,0.0,1072.0,1072.0,1072.0,1072.0,0.0,3559.46,3577.2,3525.25,3432.5,3507.41,0.03698762,0,0,0,0,1,10768530.454423312,208997.65816408652,mensualizacion_estacionalidad_nacional_y_semanalizacion_calendario_dias,proxy_operacional_no_observada
2021-02-01,2021-02-07,2021,2021,2,5,7,PROXY_NACIONAL_5_DEPARTAMENTOS,430.4596829530094,19562.39,19221.010000000002,1.0177607732372023,1721.8387318120378,0.08801781028862209,1107.0,4.735714285714286,71.0,20.223142857142857,24.872285714285717,16.819142857142857,82.10028571428572,14.187999999999999,0.7237142857142856,0.7191428571428571,15.799714285714288,0.8657142857142857,0.3404671106431421,0.4806682724970663,0.7883060725700316,0.35644123292311175,0.489873259930341,0.8469619779791022,15.51542857142857,26.452095238095236,0.653428571428571,24.984142857142857,0.7252142857142857,0.7313571428571428,0,0,1,0,0,1091000.0,1094714.285714286,1050285.714285714,1083392.8571428573,0.03876496191512535,16.88,16.25,16.25,16.4075,0.03876923076923067,1273.64,1072.0,1072.0,1122.41,0.18809701492537312,3543.28,3546.23,3559.46,3478.11,3523.7,0.01873719,0,0,0,0,1,10768530.454423312,236955.61765617013,mensualizacion_estacionalidad_nacional_y_semanalizacion_calendario_dias,proxy_operacional_no_observada
2021-02-08,2021-02-14,2021,2021,2,6,7,PROXY_NACIONAL_5_DEPARTAMENTOS,430.4596829530094,19562.39,19221.010000000002,1.0177607732372023,1721.8387318120378,0.08801781028862209,1107.0,1.4005714285714286,71.0,19.988,24.448285714285714,16.975428571428573,83.67428571428572,14.299428571428573,0.7205714285714285,0.7217142857142858,15.166285714285715,0.7948571428571428,0.33895653056970454,0.12019022913964549,0.8656702387666854,0.29386361070339845,0.409179444281489,0.8227538332844466,15.864285714285714,27.852666666666664,-1.7144285714285712,24.871428571428574,0.7219285714285714,0.7262142857142857,0,0,1,1,0,1068857.142857143,1091000.0,1068714.285714286,1083428.5714285714,0.0001336719689879473,16.88,16.88,16.25,16.564999999999998,0.03876923076923067,1273.64,1273.64,1072.0,1172.8200000000002,0.18809701492537312,3515.65,3542.15,3543.28,3466.8,3535.91,0.0140908,0,0,0,0,1,10768530.454423312,236955.61765617013,mensualizacion_estacionalidad_nacional_y_semanalizacion_calendario_dias,proxy_operacional_no_observada
2021-02-15,2021-02-21,2021,2021,2,7,7,PROXY_NACIONAL_5_DEPARTAMENTOS,430.4596829530094,19562.39,19221.010000000002,1.0177607732372023,1721.8387318120378,0.08801781028862209,1107.0,4.500571428571429,71.0,19.65742857142857,24.45114285714286,16.22342857142857,82.5957142857143,13.765428571428572,0.7365714285714285,0.7314285714285714,14.526285714285715,0.8285714285714285,0.3913878897042711,0.4552529182879378,0.9744312840759539,0.2306367844642655,0.5290023296571077,0.8587006988971323,14.101142857142857,32.3532380952381,0.24764285714285705,24.74307142857143,0.7256428571428571,0.7281428571428571,0,0,0,0,0,1105857.142857143,1068857.142857143,1079142.857142857,1090107.142857143,0.02475509663754316,16.88,16.88,16.25,16.7225,0.03876923076923067,1273.64,1273.64,1072.0,1223.23,0.18809701492537312,3555.4,3534.86,3515.65,3525.25,3543.45,0.00855258,0,0,0,0,1,10768530.454423312,236955.61765617013,mensualizacion_estacionalidad_nacional_y_semanalizacion_calendario_dias,proxy_operacional_no_observada
2021-02-22,2021-02-28,2021,2021,2,8,7,PROXY_NACIONAL_5_DEPARTAMENTOS,430.4596829530094,19562.39,19221.010000000002,1.0177607732372023,1721.8387318120378,0.08801781028862209,1107.0,2.7697142857142856,71.0,20.346857142857143,25.124857142857145,16.886285714285712,81.95257142857143,14.232285714285714,0.7134285714285714,0.7125714285714285,14.331714285714288,0.7979999999999999,0.30612062192338724,0.26817367673398795,0.7476029328821203,0.21141470023710068,0.3927985751127777,0.8178395725338332,13.406571428571429,29.232285714285712,-0.760357142857143,24.72414285714286,0.7212142857142857,0.7235714285714285,0,0,0,1,0,1188428.571428571,1105857.142857143,1094714.285714286,1113535.714285714,0.08560615946757077,16.88,16.88,16.25,16.88,0.03876923076923067,1273.64,1273.64,1072.0,1273.64,0.18809701492537312,3624.39,3594.78,3555.4,3559.46,3559.68,0.01824153,0,0,0,0,1,10768530.454423312,236955.61765617013,mensualizacion_estacionalidad_nacional_y_semanalizacion_calendario_dias,proxy_operacional_no_observada
2021-03-01,2021-03-07,2021,2021,3,9,7,PROXY_NACIONAL_5_DEPARTAMENTOS,368.78266395135,19562.39,19221.010000000002,1.0177607732372023,1633.1803689274072,0.08348572791603721,1050.0,4.928857142857143,71.0,19.500285714285713,23.86857142857143,16.463428571428572,83.25914285714285,13.784571428571429,0.7245714285714285,0.7194285714285714,13.528,0.6811428571428572,0.34281549142957923,0.5015440676919276,0.9738672682835117,0.13201422603590374,0.5086403898995981,0.8525921169698794,13.599714285714287,29.115142857142857,-1.3622142857142858,24.473214285714285,0.7212857142857143,0.7237857142857143,0,0,0,0,0,1170285.714285714,1188428.571428571,1091000.0,1133357.1428571427,0.07267251538562247,16.25,16.88,16.88,16.7225,-0.037322274881516515,1128.007,1273.64,1273.64,1237.2317500000001,-0.11434392764046353,3640.2,3642.67,3624.39,3543.28,3583.91,0.02735319,0,0,0,0,1,10768530.454423312,203004.20080692956,mensualizacion_estacionalidad_nacional_y_semanalizacion_calendario_dias,proxy_operacional_no_observada
