ALLSKY_SFC_SW_DWN_mean,GWETROOT_mean,GWETTOP_mean,IMERG_PRECTOT,PRECTOTCORR,QV2M_mean,RH2M_mean,T2M_MAX_mean,T2M_MIN_mean,T2M_mean,WS2M_mean,anio_referencia_y,anomalia_lluvia_semana_iso_mean,area_cosechada_departamental_ha,departamento,dummy_devaluacion_4s_p75_any,dummy_estres_hidrico_p25_any,dummy_exceso_lluvia_p75_any,dummy_exportaciones_altas_p75_any,dummy_indice_climatico_alto_p75_any,dummy_indice_climatico_bajo_p25_any,dummy_precio_externo_alto_p75_any,dummy_precio_interno_alto_p75_any,dummy_temp_max_alta_p75_any,dummy_trm_lag4_alta_p75_any,exportaciones_mensual_miles_sacos_lag_1s_mean,exportaciones_mensual_miles_sacos_lag_4s_mean,exportaciones_mensual_miles_sacos_ma_4s_mean,exportaciones_mensual_miles_sacos_mean,exportaciones_mensual_miles_sacos_var_4s_mean,fecha_mes,gwetroot_ma_4s_mean,gwettop_ma_4s_mean,indice_climatico_ajustado_x_mean,lluvia_acum_4s,lluvia_acum_8s,mes_referencia_y,precio_externo_exdock_cent_usd_lb_lag_1s_mean,precio_externo_exdock_cent_usd_lb_lag_4s_mean,precio_externo_exdock_cent_usd_lb_ma_4s_mean,precio_externo_exdock_cent_usd_lb_mean,precio_externo_exdock_cent_usd_lb_var_4s_mean,precio_interno_cop_carga_lag_1s_mean,precio_interno_cop_carga_lag_4s_mean,precio_interno_cop_carga_ma_4s_mean,precio_interno_cop_carga_mean,precio_interno_cop_carga_var_4s_mean,produccion_mensual_proxy_t,rendimiento_departamental_t_ha,t2m_max_ma_4s_mean,trm_promedio_semana_cop_usd_mean,trm_viernes_cop_usd_lag_1s_mean,trm_viernes_cop_usd_lag_4s_mean,trm_viernes_cop_usd_ma_4s_mean,trm_viernes_cop_usd_mean,trm_viernes_cop_usd_var_4s_mean,valor_cosecha_anual_millones
18.63892857142857,0.6314285714285715,0.6425,284,9.02,14.58535714285714,80.05214285714285,26.97107142857143,18.10571428571428,21.81178571428572,0.2196428571428571,2021,-0.709732142857143,1752.93,ANTIOQUIA,0,0,0,1,0,0,0,0,0,0,1072.0,1072.0,1072.0,1072.0,0.0,2021-01-01,0.6548511904761906,0.6793353174603175,0.8383093666171906,39.95428571428571,45.85095238095238,1,16.25,16.25,16.25,16.25,0.0,1067785.714285714,1073000.0,1066660.714285714,1073214.285714286,0.0202369857542272,198.8783867376958,1.229704035508213,26.23974206349207,3497.6225,3475.665,3432.5,3491.535,3507.405,0.03698762,10768530.45442331
15.98535714285714,0.5971428571428571,0.59,284,10.43428571428571,14.60107142857143,78.45964285714285,27.70392857142857,18.44607142857143,22.23964285714286,0.1403571428571428,2021,-0.2429464285714285,1752.93,ANTIOQUIA,0,0,0,1,0,1,0,0,1,0,1223.23,1072.0,1198.025,1273.64,0.1880970149253731,2021-02-01,0.6033035714285714,0.5991964285714286,0.8166330184720061,42.12857142857143,82.08285714285714,2,16.7225,16.25,16.64375,16.88,0.0387692307692306,1090107.142857143,1073214.285714286,1092616.071428571,1113535.714285714,0.03731497249730675,203.661770692534,1.3942035610722663,27.62723214285715,3554.505,3543.4475,3507.405,3540.685,3559.68,0.014905525,10768530.45442331
15.38535714285714,0.5746428571428571,0.5575,284,7.068571428571429,14.11107142857143,77.06714285714285,27.44464285714286,18.42714285714285,22.01392857142857,0.1089285714285714,2021,-3.225892857142857,1752.93,ANTIOQUIA,0,1,0,1,0,1,0,0,1,0,1164.41525,1273.64,1182.619375,1128.007,-0.1143439276404635,2021-03-01,0.5849107142857143,0.571875,0.8065810052730773,32.85857142857143,74.98714285714286,3,16.4075,16.88,16.48625,16.25,-0.0373222748815165,1163500.0,1113535.714285714,1151669.642857143,1156107.142857143,0.0398421248655077,193.175121253081,1.1944396274594116,27.63428571428571,3603.13,3598.3075,3559.68,3597.4,3608.5625,0.0137646375,10768530.45442331
16.814,0.5785714285714285,0.5705714285714285,355,15.90714285714286,14.55485714285714,76.06457142857144,28.16171428571429,19.02285714285714,22.78428571428572,0.1225714285714285,2021,-2.657571428571428,1752.93,ANTIOQUIA,0,1,0,0,0,1,0,0,1,0,1053.623,1109.411,1062.921,1035.027,-0.06594285319151384,2021-04-01,0.5685714285714286,0.5551428571428572,0.8131691153656269,54.75714285714285,92.47285714285714,4,15.554,16.076,15.641,15.38,-0.0428307692307692,1176657.142857143,1152600.0,1174364.285714286,1209342.857142857,0.0496989991136721,149.0208078238053,1.1981773296949987,28.48678571428571,3660.336,3645.98,3622.574,3640.03,3660.926,0.010641404,10768530.45442331
17.66642857142857,0.5392857142857143,0.5121428571428571,284,2.662857142857143,13.89107142857143,68.91285714285715,30.09821428571429,19.33928571428572,23.92714285714286,0.08214285714285707,2021,-5.759375,1752.93,ANTIOQUIA,0,1,0,0,0,1,0,0,1,0,517.50675,1035.027,603.760125,345.0,-0.6666753620920034,2021-05-01,0.5686607142857143,0.5508928571428571,0.7711463936628237,21.21,71.11,5,15.1925,15.38,15.22375,15.13,-0.0162548764629388,1359964.285714286,1227035.714285714,1338687.5,1387714.285714286,0.1326760463408027,113.3294044684742,0.7007379147761879,28.60330357142857,3736.075,3731.625,3656.5025,3712.3525,3725.41,0.0190281275,10768530.45442331
16.7925,0.5389285714285714,0.5167857142857143,284,10.92428571428571,13.84285714285714,73.17035714285714,28.89321428571429,18.5375,22.77357142857143,0.09642857142857138,2021,-4.276071428571429,1752.93,ANTIOQUIA,0,1,0,0,0,1,0,0,1,0,753.963,345.0,685.8025,890.284,1.580533333333333,2021-06-01,0.53,0.5060714285714285,0.8018366320286675,35.00857142857143,56.21857142857144,6,15.265,15.13,15.2425,15.31,0.0118968935888961,1418285.714285714,1387714.285714286,1411794.642857143,1417821.428571428,0.02204044977077943,193.5430738649916,1.2174671234064862,29.54089285714286,3680.635,3676.0675,3725.41,3679.1575,3682.005,-0.01158329,10768530.45442331
18.31114285714286,0.524,0.4897142857142857,355,9.034285714285714,12.984,65.34371428571428,30.58457142857143,18.84971428571428,23.85342857142857,0.08171428571428567,2021,-3.844714285714286,1752.93,ANTIOQUIA,0,1,0,1,0,1,0,0,1,0,1125.4776,949.0824,1096.0784,1184.276,0.2641781723584834,2021-07-01,0.5315714285714286,0.5007857142857143,0.7793930699922507,39.18857142857143,84.44285714285715,7,14.91,15.21,14.96,14.81,-0.02612671456564336,1488542.857142857,1421285.714285714,1474078.571428571,1557857.142857143,0.09557778533858505,222.4273538999761,1.692334066998207,30.02207142857143,3822.534,3805.712,3701.038,3790.966,3831.482,0.03548899,10768530.45442331
17.98892857142857,0.5360714285714285,0.5071428571428571,284,13.09571428571429,13.45285714285714,69.69392857142857,29.47035714285714,18.81928571428572,23.20678571428571,0.07749999999999996,2021,-1.164910714285714,1752.93,ANTIOQUIA,0,1,0,1,0,1,0,0,1,0,1144.29875,1184.276,1150.961625,1130.973,-0.0450089337282864,2021-08-01,0.5240178571428571,0.4908928571428571,0.8025397297902703,38.25714285714285,67.2,8,14.8625,14.81,14.85375,14.88,0.0047265361242403,1714928.571428571,1588535.714285714,1696116.071428571,1700964.285714286,0.0795391608364872,168.3383199491135,1.0408688182146297,30.11089285714286,3885.995,3880.6025,3845.06,3877.065,3872.165,0.0071073625,10768530.45442331
18.90085714285714,0.5648571428571428,0.5374285714285715,355,15.58857142857143,13.822,70.47657142857142,29.95628571428571,18.86571428571429,23.45457142857143,0.08285714285714282,2021,-1.448928571428572,1752.93,ANTIOQUIA,0,1,0,1,0,1,0,0,1,0,1098.0602,1122.7448,1102.1743,1089.832,-0.02910131364762888,2021-09-01,0.5614285714285714,0.5352142857142856,0.8079272240025036,70.72999999999999,122.5571428571428,9,15.68,15.08,15.58,15.88,0.05376344086021496,1712500.0,1708800.0,1714064.285714286,1723100.0,0.00847069490455832,222.4273538999761,1.7203587083254681,29.65285714285714,3818.934,3826.816,3855.74,3827.288,3816.26,-0.01003384,10768530.45442331
17.17464285714286,0.6153571428571428,0.6257142857142857,284,21.21,15.26357142857143,83.17357142857144,26.91607142857143,18.72821428571429,21.91785714285714,0.1017857142857143,2021,-1.400803571428572,1752.93,ANTIOQUIA,0,1,0,0,0,0,0,0,1,0,1012.5835,1089.832,1025.45825,986.834,-0.0945081443745459,2021-10-01,0.593392857142857,0.5895535714285713,0.8528221988869193,77.73857142857143,134.8985714285714,10,15.6925,15.88,15.72375,15.63,-0.0157430730478589,1778428.571428571,1718839.285714286,1763276.785714286,1782785.714285715,0.03757793010167548,186.184021626779,1.1512122885608802,28.35258928571428,3771.41,3775.005,3822.815,3786.7425,3775.7775,-0.01225589,10768530.45442331
