departamento,anio_referencia_y,mes_referencia_y,produccion_mensual_desde_semana_t,produccion_mensual_proxy_t,produccion_anual_departamental_t,area_cosechada_departamental_ha,rendimiento_departamental_t_ha,peso_mensual_prod_nacional,produccion_nacional_mensual_oficial_miles_sacos,valor_cosecha_anual_millones,PRECTOTCORR,IMERG_PRECTOT,lluvia_acum_4s,lluvia_acum_8s,T2M_mean,T2M_MAX_mean,T2M_MIN_mean,RH2M_mean,QV2M_mean,GWETTOP_mean,GWETROOT_mean,ALLSKY_SFC_SW_DWN_mean,WS2M_mean,anomalia_lluvia_semana_iso_mean,t2m_max_ma_4s_mean,gwetroot_ma_4s_mean,gwettop_ma_4s_mean,indice_climatico_base_x_mean,indice_climatico_ajustado_x_mean,dummy_exceso_lluvia_p75_any,dummy_exceso_lluvia_p75_mean,dummy_estres_hidrico_p25_any,dummy_estres_hidrico_p25_mean,dummy_temp_max_alta_p75_any,dummy_temp_max_alta_p75_mean,dummy_indice_climatico_bajo_p25_any,dummy_indice_climatico_bajo_p25_mean,dummy_indice_climatico_alto_p75_any,dummy_indice_climatico_alto_p75_mean,dummy_trm_lag4_alta_p75_any,dummy_trm_lag4_alta_p75_mean,dummy_devaluacion_4s_p75_any,dummy_devaluacion_4s_p75_mean,dummy_precio_interno_alto_p75_any,dummy_precio_interno_alto_p75_mean,dummy_precio_externo_alto_p75_any,dummy_precio_externo_alto_p75_mean,dummy_exportaciones_altas_p75_any,dummy_exportaciones_altas_p75_mean,precio_interno_cop_carga_mean,precio_interno_cop_carga_lag_1s_mean,precio_interno_cop_carga_lag_4s_mean,precio_interno_cop_carga_ma_4s_mean,precio_interno_cop_carga_var_4s_mean,precio_externo_exdock_cent_usd_lb_mean,precio_externo_exdock_cent_usd_lb_lag_1s_mean,precio_externo_exdock_cent_usd_lb_lag_4s_mean,precio_externo_exdock_cent_usd_lb_ma_4s_mean,precio_externo_exdock_cent_usd_lb_var_4s_mean,exportaciones_mensual_miles_sacos_mean,exportaciones_mensual_miles_sacos_lag_1s_mean,exportaciones_mensual_miles_sacos_lag_4s_mean,exportaciones_mensual_miles_sacos_ma_4s_mean,exportaciones_mensual_miles_sacos_var_4s_mean,trm_viernes_cop_usd_mean,trm_promedio_semana_cop_usd_mean,trm_viernes_cop_usd_lag_1s_mean,trm_viernes_cop_usd_lag_4s_mean,trm_viernes_cop_usd_ma_4s_mean,trm_viernes_cop_usd_var_4s_mean,nivel,dias_productivos_periodo_2021_2024,diff_target_mensual
ANTIOQUIA,2021,1,179.632091246951,198.8783867376958,2313.87,1752.93,1.229704035508213,0.0859505446449868,1081.0,10768530.45442331,9.02,284,39.95428571428571,45.85095238095238,21.81178571428572,26.97107142857143,18.10571428571428,80.05214285714285,14.58535714285714,0.6425,0.6314285714285715,18.63892857142857,0.2196428571428571,-0.709732142857143,26.23974206349207,0.6548511904761906,0.6793353174603175,0.461031222057302,0.8383093666171906,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,1,1,1073214.285714286,1067785.714285714,1073000.0,1066660.714285714,0.0202369857542272,16.25,16.25,16.25,16.25,0.0,1072.0,1072.0,1072.0,1072.0,0.0,3507.405,3497.6225,3475.665,3432.5,3491.535,0.03698762,PANEL_DEPARTAMENTAL,7,-19.24629549074476
ANTIOQUIA,2021,2,203.661770692534,203.661770692534,2313.87,1752.93,1.3942035610722663,0.088017810288622,1107.0,10768530.45442331,10.43428571428571,284,42.12857142857143,82.08285714285714,22.23964285714286,27.70392857142857,18.44607142857143,78.45964285714285,14.60107142857143,0.59,0.5971428571428571,15.98535714285714,0.1403571428571428,-0.2429464285714285,27.62723214285715,0.6033035714285714,0.5991964285714286,0.3887767282400206,0.8166330184720061,0,0.0,0,0.0,1,0.25,1,0.5,0,0.0,0,0,0,0,0,0.0,0,0,1,1,1113535.714285714,1090107.142857143,1073214.285714286,1092616.071428571,0.03731497249730675,16.88,16.7225,16.25,16.64375,0.0387692307692306,1273.64,1223.23,1072.0,1198.025,0.1880970149253731,3559.68,3554.505,3543.4475,3507.405,3540.685,0.014905525,PANEL_DEPARTAMENTAL,7,0.0
ANTIOQUIA,2021,3,174.4807546802022,193.175121253081,2313.87,1752.93,1.1944396274594116,0.0834857279160372,1050.0,10768530.45442331,7.068571428571429,284,32.85857142857143,74.98714285714286,22.01392857142857,27.44464285714286,18.42714285714285,77.06714285714285,14.11107142857143,0.5575,0.5746428571428571,15.38535714285714,0.1089285714285714,-3.225892857142857,27.63428571428571,0.5849107142857143,0.571875,0.3552700175769247,0.8065810052730773,0,0.0,1,1.0,1,0.5,1,1.0,0,0.0,0,0,0,0,0,0.0,0,0,1,1,1156107.142857143,1163500.0,1113535.714285714,1151669.642857143,0.0398421248655077,16.25,16.4075,16.88,16.48625,-0.0373222748815165,1128.007,1164.41525,1273.64,1182.619375,-0.1143439276404635,3608.5625,3603.13,3598.3075,3559.68,3597.4,0.0137646375,PANEL_DEPARTAMENTAL,7,-18.69436657287883
ANTIOQUIA,2021,4,175.0267488785212,149.0208078238053,2313.87,1752.93,1.1981773296949987,0.0644032758209429,810.0,10768530.45442331,15.90714285714286,355,54.75714285714285,92.47285714285714,22.78428571428572,28.16171428571429,19.02285714285714,76.06457142857144,14.55485714285714,0.5705714285714285,0.5785714285714285,16.814,0.1225714285714285,-2.657571428571428,28.48678571428571,0.5685714285714286,0.5551428571428572,0.3772303845520897,0.8131691153656269,0,0.0,1,1.0,1,1.0,1,0.6,0,0.0,0,0,0,0,0,0.0,0,0,0,0,1209342.857142857,1176657.142857143,1152600.0,1174364.285714286,0.0496989991136721,15.38,15.554,16.076,15.641,-0.0428307692307692,1035.027,1053.623,1109.411,1062.921,-0.06594285319151384,3660.926,3660.336,3645.98,3622.574,3640.03,0.010641404,PANEL_DEPARTAMENTAL,7,26.00594105471586
ANTIOQUIA,2021,5,102.3620427457186,113.3294044684742,2313.87,1752.93,0.7007379147761879,0.0489782937107418,616.0,10768530.45442331,2.662857142857143,284,21.21,71.11,23.92714285714286,30.09821428571429,19.33928571428572,68.91285714285715,13.89107142857143,0.5121428571428571,0.5392857142857143,17.66642857142857,0.08214285714285707,-5.759375,28.60330357142857,0.5686607142857143,0.5508928571428571,0.2371546455427459,0.7711463936628237,0,0.0,1,1.0,1,0.75,1,1.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,1387714.285714286,1359964.285714286,1227035.714285714,1338687.5,0.1326760463408027,15.13,15.1925,15.38,15.22375,-0.0162548764629388,345.0,517.50675,1035.027,603.760125,-0.6666753620920034,3725.41,3736.075,3731.625,3656.5025,3712.3525,0.0190281275,PANEL_DEPARTAMENTAL,7,-10.96736172275558
ANTIOQUIA,2021,6,177.844553719411,193.5430738649916,2313.87,1752.93,1.2174671234064862,0.083644748350163,1052.0,10768530.45442331,10.92428571428571,284,35.00857142857143,56.21857142857144,22.77357142857143,28.89321428571429,18.5375,73.17035714285714,13.84285714285714,0.5167857142857143,0.5389285714285714,16.7925,0.09642857142857138,-4.276071428571429,29.54089285714286,0.53,0.5060714285714285,0.3394554400955587,0.8018366320286675,0,0.0,1,1.0,1,1.0,1,0.75,0,0.0,0,0,0,0,0,0.0,0,0,0,0,1417821.428571428,1418285.714285714,1387714.285714286,1411794.642857143,0.02204044977077943,15.31,15.265,15.13,15.2425,0.0118968935888961,890.284,753.963,345.0,685.8025,1.580533333333333,3682.005,3680.635,3676.0675,3725.41,3679.1575,-0.01158329,PANEL_DEPARTAMENTAL,7,-15.69852014558066
ANTIOQUIA,2021,7,247.2119296719306,222.4273538999761,2313.87,1752.93,1.692334066998207,0.0961278524290371,1209.0,10768530.45442331,9.034285714285714,355,39.18857142857143,84.44285714285715,23.85342857142857,30.58457142857143,18.84971428571428,65.34371428571428,12.984,0.4897142857142857,0.524,18.31114285714286,0.08171428571428567,-3.844714285714286,30.02207142857143,0.5315714285714286,0.5007857142857143,0.2646435666408355,0.7793930699922507,0,0.0,1,1.0,1,1.0,1,1.0,0,0.0,0,0,0,0,0,0.0,0,0,1,1,1557857.142857143,1488542.857142857,1421285.714285714,1474078.571428571,0.09557778533858505,14.81,14.91,15.21,14.96,-0.02612671456564336,1184.276,1125.4776,949.0824,1096.0784,0.2641781723584834,3831.482,3822.534,3805.712,3701.038,3790.966,0.03548899,PANEL_DEPARTAMENTAL,7,24.78457577195445
ANTIOQUIA,2021,8,152.0475147927476,168.3383199491135,2313.87,1752.93,1.0408688182146297,0.0727518486125467,915.0,10768530.45442331,13.09571428571429,284,38.25714285714285,67.2,23.20678571428571,29.47035714285714,18.81928571428572,69.69392857142857,13.45285714285714,0.5071428571428571,0.5360714285714285,17.98892857142857,0.07749999999999996,-1.164910714285714,30.11089285714286,0.5240178571428571,0.4908928571428571,0.3417990993009011,0.8025397297902703,0,0.0,1,1.0,1,1.0,1,0.5,0,0.0,0,0,0,0,0,0.0,0,0,1,1,1700964.285714286,1714928.571428571,1588535.714285714,1696116.071428571,0.0795391608364872,14.88,14.8625,14.81,14.85375,0.0047265361242403,1130.973,1144.29875,1184.276,1150.961625,-0.0450089337282864,3872.165,3885.995,3880.6025,3845.06,3877.065,0.0071073625,PANEL_DEPARTAMENTAL,7,-16.29080515636585
ANTIOQUIA,2021,9,251.3056992154136,222.4273538999761,2313.87,1752.93,1.7203587083254681,0.0961278524290371,1209.0,10768530.45442331,15.58857142857143,355,70.72999999999999,122.5571428571428,23.45457142857143,29.95628571428571,18.86571428571429,70.47657142857142,13.822,0.5374285714285715,0.5648571428571428,18.90085714285714,0.08285714285714282,-1.448928571428572,29.65285714285714,0.5614285714285714,0.5352142857142856,0.3597574133416785,0.8079272240025036,0,0.0,1,1.0,1,1.0,1,0.8,0,0.0,0,0,0,0,0,0.0,0,0,1,1,1723100.0,1712500.0,1708800.0,1714064.285714286,0.00847069490455832,15.88,15.68,15.08,15.58,0.05376344086021496,1089.832,1098.0602,1122.7448,1102.1743,-0.02910131364762888,3816.26,3818.934,3826.816,3855.74,3827.288,-0.01003384,PANEL_DEPARTAMENTAL,7,28.87834531543751
ANTIOQUIA,2021,10,168.166213082252,186.184021626779,2313.87,1752.93,1.1512122885608802,0.0804643396676473,1012.0,10768530.45442331,21.21,284,77.73857142857143,134.8985714285714,21.91785714285714,26.91607142857143,18.72821428571429,83.17357142857144,15.26357142857143,0.6257142857142857,0.6153571428571428,17.17464285714286,0.1017857142857143,-1.400803571428572,28.35258928571428,0.593392857142857,0.5895535714285713,0.5094073296230647,0.8528221988869193,0,0.0,1,0.75,1,0.75,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,1782785.714285715,1778428.571428571,1718839.285714286,1763276.785714286,0.03757793010167548,15.63,15.6925,15.88,15.72375,-0.0157430730478589,986.834,1012.5835,1089.832,1025.45825,-0.0945081443745459,3775.7775,3771.41,3775.005,3822.815,3786.7425,-0.01225589,PANEL_DEPARTAMENTAL,7,-18.01780854452701
